Country,CountryCode,StatsSeriesExtDim,StatsSeriesExtDimCode,2007,2008,2009,2010,2011,2012
Bolivia,BOL,Adult illiterate population. Total,UIS.LP.AG15T99,536984.9138,555962.6266,543463.5814,,,
Bolivia,BOL,Adjusted net enrolment rate. Primary. Female,SE.PRM.TENR.FE,95.83157,,,,,
Bolivia,BOL,Adjusted net enrolment rate. Primary. Male,SE.PRM.TENR.MA,95.15317,,,,,
Bolivia,BOL,Adjusted net enrolment rate. Primary. Total,SE.PRM.TENR,95.48596,,,,,
Bolivia,BOL,Adjusted net intake rate (%). Primary. Female,UIS.NIRA.1.F,73.60315,,,,,
Bolivia,BOL,Adjusted net intake rate (%). Primary. Male,UIS.NIRA.1.M,72.65467,,,,,
Bolivia,BOL,Adjusted net intake rate (%). Primary. Total,UIS.NIRA.1,73.11977,,,,,
Bolivia,BOL,Adult (15+) literacy rate (%). Female,SE.ADT.LITR.FE.ZS,85.98593929,86.83175386,86.82145717,,,
Bolivia,BOL,Adult (15+) literacy rate (%). Male,SE.ADT.LITR.MA.ZS,96.03625678,94.95543248,95.80363609,,,
Bolivia,BOL,Adult (15+) literacy rate (%). Total,SE.ADT.LITR.ZS,90.74346987,90.69810562,91.16782546,,,
Bolivia,BOL,Adult illiterate population. % female,UIS.LPP.AG15T99,78.5617693,72.97498864,76.42730924,,,
Bolivia,BOL,Adult illiterate population. Female,UIS.LP.AG15T99.F,421864.8492,405713.6636,415354.592,,,
Bolivia,BOL,Adult illiterate population. Male,UIS.LP.AG15T99.M,115120.0646,150248.963,128108.9894,,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 15+, female",BAR.PRM.SCHL.15UP.FE,,,,5.9741,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 15+, total",BAR.PRM.SCHL.15UP,,,,6.2944,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 15-19, female",BAR.PRM.SCHL.1519.FE,,,,5.6745,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 15-19, total",BAR.PRM.SCHL.1519,,,,5.7324,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 20-24, female",BAR.PRM.SCHL.2024.FE,,,,7.9932,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 20-24, total",BAR.PRM.SCHL.2024,,,,7.9935,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 25+, female",BAR.PRM.SCHL.25UP.FE,,,,5.5829,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 25+, total",BAR.PRM.SCHL.25UP,,,,6.0247,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 25-29, female",BAR.PRM.SCHL.2529.FE,,,,7.7939,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 25-29, total",BAR.PRM.SCHL.2529,,,,7.8497,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 30-34, female",BAR.PRM.SCHL.3034.FE,,,,6.9686,,
Bolivia,BOL,"Barro-Lee: Average years of primary schooling, age 30-34, total",BAR.PRM.SCHL.3034,,,,7.1897,,
